First	Last	Address	City	State	Zip	Phone
Mr. Stephen	Larsen	24 Santa Cruz Ave	San Jose	CA	95030-5917	(408) 555-2400
Burton	Mills	18 Santa Cruz Ave	San Jose	CA	95030-5917	(650) 555-8400
Robert	Jieh	16 Santa Cruz Ave	San Jose	CA	95030-5917	(408) 555-5400
Jessie	Chang	160 Main Street	Los Gatos	CA	95030-6814	(408) 555-1212
Niel	Helling	150 Main Street	Los Gatos	CA	95030-6814	(650) 555-0220
Jeanne	Hui	140 Main Street	Gilroy	CA	95030-6814	(415) 555-0900
Frank	Hwang	100 Main Street	Los Altos	CA	95030-6814	(408) 555-5000
G	Forbes	15 University Ave	Milpitas	CA	95030-6008	(408) 555-1600
Richard	Caballero	15 University Ave	San Jose	CA	95030-6008	(650) 555-3100
Richard	Speaker	103 University Ave	Santa Clara	CA	95030-6010	(408) 555-0500
David	"Shieh, Phd."	105 University Ave	Gilroy	CA	95030-6010	(408) 555-7429
Robert	Powell	111 University Ave	Morgan Hill	CA	95030-6010	(201) 555-3000
Jay	Lee	115 University Ave	Mountain View	CA	95030-6010	(415) 555-0480
Jim	Putman	201 University Ave	San Jose	CA	95030-6012	(415) 555-6209
Loretta	"Lee, Ph.D"	205 University Ave	Morgan Hill	CA	95030-6012	(408) 555-5822
Jerry	Pridgeon	209 University Ave	Fremont	CA	95030-6012	(650) 555-1111
David	Haury	215 University Ave	San Jose	CA	95030-6012	(408) 555-1072
Doug	Pao	217 University Ave	Santa Clara	CA	95030-6012	(408) 555-5340
Bob	Sotcher	50 Main Street	Santa Clara	CA	95030-6813	(408) 555-8500
Johan	Gilman	88 Main Street	Santa Clara	CA	95030-6813	(415) 555-0596
Terri	Fruth	966 Sixth Street	Sunnyvale	CA	95112-3933	(408) 555-7525
Tig	Woodbridge	128 University Ave	Sunnyvale	CA	95030-6011	(650) 555-3600
Michael	Kowalik	126 University Ave	Sunnyvale	CA	95030-6011	(415) 555-0160
Larry	Adams	122 University Ave	Los Gatos	CA	95030-6011	(650) 555-9112
Vicki	Gannaway	118 University Ave	Sunnyvale	CA	95030-6011	(408) 555-5999
Don	Petersen	112 University Ave	Cupertino	CA	95030-6011	(408) 555-4995
Amy	Garcia	104 University Ave	Santa Clara	CA	95030-6011	(408) 555-4830
Max	Grellas	20 University Ave	Santa Clara	CA	95030-6009	(503) 555-3311
Jack	Trimble	78 Main Street	San Jose	CA	95030-6813	(650) 555-8520
Dick	Verdugo	14 Main Street	San Jose	CA	95030-6831	(415) 555-5577
Larry	Jesse	27 Main Street	Campbell	CA	95030-6810	(415) 555-8000
Bob	Haynes	81 Main Street	San Jose	CA	95030-6829	555-0969
Evan	Bitcon	101 Santa Cruz Ave	Mountain View	CA	95030-6701	(408) 555-4455
Rick	Covert	40 Park Ave	Los Gatos	CA	95030-6820	(408) 555-0277
William	Groner	21 Main Street	Santa Clara	CA	95030-6810	(415) 555-1590
Rick	Michaelis	25 Main Street	Gilroy	CA	95030-6810	(213) 555-1800
Colleen	Faroudja	48 Park Ave	Sunnyvale	CA	95030-6820	(408) 555-5100
Brian	Peachey	11 Montebello Way	Santa Clara	CA	95030-6808	(408) 555-0455
Todd	Baker	16150 Los Gatos Blvd	Gilroy	CA	95032-4516	(408) 555-9811
Buck	Makmann	15736 Los Gatos Blvd	Santa Clara	CA	95032-2508	(707) 555-7474
Russ	She	15748 Los Gatos Blvd	Gilroy	CA	95032-2508	(408) 555-1230
Paul	Dauser	15760 Los Gatos Blvd	Santa Clara	CA	95032-2508	(408) 555-2434
Kevin P.	Landry	15780 Los Gatos Blvd	Santa Clara	CA	95032-2508	(408) 555-6660
Bill	Gallien	142 Santa Cruz Ave	Santa Clara	CA	95030-6702	(415) 555-6200
Ted	Hall	110 Santa Cruz Ave	Sunnyvale	CA	95030-6702	(619) 555-2180
David	Ayars	1002 Second Street	Fremont	CA	95112-5827	(650) 555-1111
Stewart	Berman	20 Santa Cruz Ave	Santa Clara	CA	95030-6830	(408) 555-8811
Vincent	Dizon	140 Santa Cruz Ave	Los Gatos	CA	95030-6702	(852) 555-3525
Elaine	Malase	120 Santa Cruz Ave	San Jose	CA	95030-6702	(415) 555-7790
Gary	Hartford	100 Santa Cruz Ave	San Jose	CA	95030-6702	(408) 555-0070
Steven	Ludlow	25 Broadway	San Jose	CA	95030-6832	(408) 555-3300
Donald	Trod	29 Broadway	Santa Clara	CA	95030-6802	(650) 555-8000
Dave Page	Chamberlain	37 Broadway	San Jose	CA	95030-6802	(408) 555-4420
Clavin	Gundy	223 Main Street	Santa Clara	CA	95030-6818	(408) 555-7225
Myron	Buckly	229 Main Street	Campbell	CA	95030-6818	(408) 555-7502
Michael	Jeffrey	245 Main Street	Milpitas	CA	95030-6818	(650) 555-9011
Bob	Osborne	249 Main Street	Campbell	CA	95030-6818	(408) 555-2500
Eugene	Quimby	251 Main Street	Campbell	CA	95030-6818	(408) 555-5000
David	Barnes	253 Main Street	Morgan Hill	CA	95030-6818	(650) 555-5392
Rick	Wilton	215 Bean Ave	Santa Clara	CA	95030-5907	(408) 555-3343
Kurt	Camp	219 Bean Ave	San Jose	CA	95030-5944	(415) 555-1073
Lou	Wagner	3 Santa Cruz Ave	Santa Clara	CA	95030-5916	(408) 555-8955
Ellen	Shemirani	15 Lyndon Ave	Gilroy	CA	95030-5912	(213) 555-0731
Steve	Blech	300 Main Street	Sunnyvale	CA	95030-6807	(408) 555-3411
Michael	Katzka	224 Main Street	San Jose	CA	95030-6828	(408) 555-1500
Mike	Chang	17 Santa Cruz Ave	Gilroy	CA	95030-5916	(650) 555-9620
Rodger	Kedie	246 Main Street	Los Gatos	CA	95030-6817	(408) 555-4711
Kenneth	Burtis	16 Lyndon Ave	San Jose	CA	95030-5947	(650) 555-1120
Jim	Davis	21 Santa Cruz Ave	Cupertino	CA	95030-5916	(408) 555-1571
Ted	Traughber	23 Santa Cruz Ave	San Jose	CA	95030-5916	(510) 555-9200
Frank	Moore	25 Santa Cruz Ave	Santa Clara	CA	95030-5916	(408) 555-1000
Dr. Albert	"Ruf, Ce"	27 Santa Cruz Ave	San Jose	CA	95030-5916	(415) 555-3296
Lou	Koerber	35 Santa Cruz Ave	Los Gatos	CA	95030-5916	(650) 555-7485
George	Jones	39 Santa Cruz Ave	Morgan Hill	CA	95030-5916	(203) 555-6000
Steve	Guerdat	57 Santa Cruz Ave	Santa Clara	CA	95030-5916	(408) 555-8588
Ernest	West	59 Santa Cruz Ave	Los Gatos	CA	95030-5931	(408) 555-3231
Dave	Avanzino	59 Victory Lane	Mountain View	CA	95030-5920	(408) 555-2113
Rob	Hoff	213 Bean Ave	Los Gatos	CA	95030-5907	(408) 555-3900
Gary	Hunt	310 Main Street	Santa Clara	CA	95030-6807	(415) 555-2060
Jim	Bever	155 Santa Cruz Ave	Morgan Hill	CA	95030-5946	(408) 555-5251
Juanita	Lettecier	217 Santa Cruz Ave	Los Gatos	CA	95030-7206	(408) 555-7266
Michael	Dodds	233 Santa Cruz Ave	San Jose	CA	95030-7206	(415) 555-9001
Lynne	Kotsubo	154 Wilder Ave	Santa Clara	CA	95030-5924	(408) 555-0981
Joanne	William	105 Santa Cruz Ave	Sunnyvale	CA	95030-5918	(703) 555-9400
Karen	Maclay	111 Santa Cruz Ave	Mountain View	CA	95030-5918	(650) 555-2132
Frank	Edwards	115 Santa Cruz Ave	San Jose	CA	95030-5918	(408) 555-9400
Bob	Rooney	133 Santa Cruz Ave	Campbell	CA	95030-5918	(408) 555-0444
Kent	"Schodde ""Shodae"""	139 Santa Cruz Ave	San Jose	CA	95030-5918	(408) 555-1800
Joann	Reed	151 Santa Cruz Ave	Santa Clara	CA	95030-5918	(408) 555-1060
William	Chakalian	201 Santa Cruz Ave	San Jose	CA	95030-7206	(650) 555-4141
George	Nelson	225 Santa Cruz Ave	San Jose	CA	95030-7206	(408) 555-2700
Betty	Cook	227 Santa Cruz Ave	Gilroy	CA	95030-7206	(408) 555-1443
Howard	Westphal	209 Bachman Ave	Morgan Hill	CA	95030-7219	(201) 555-6232
Jim	Albert	235 Saratoga Ave	Los Gatos	CA	95030-5308	(408) 555-1440
David	Procassini	331 Santa Cruz Ave	San Jose	CA	95030-7229	(650) 555-4141
Ted	Larwood SR	335 Santa Cruz Ave	Milpitas	CA	95030-7205	(925) 555-6202
Rex	Towson	349 Massol Ave	Santa Clara	CA	95030-7239	(408) 555-4648
David	Jones	325 Saratoga Ave	Santa Clara	CA	95030-5310	(408) 555-6200
Audrey	Miner	334 Tait Ave	San Jose	CA	95030-7246	(408) 555-0777
Francis	Trujillo	314 Tait Ave	San Jose	CA	95030-7217	(213) 555-2452
Hing	Hughes	310 Tait Ave	San Jose	CA	95030-7217	(415) 555-0331
Dave	Rhodes	256 Bachman Ave	Campbell	CA	95030-7220	(415) 555-3911
Shari	Zaporta	250 Bachman Ave	San Jose	CA	95030-7220	(408) 555-1777
William	Larson	244 Bachman Ave	Morgan Hill	CA	95030-7220	(415) 555-0211
Don	Ledford	238 Bachman Ave	Mountain View	CA	95030-7220	(408) 555-6900
Brian	Lebaron	226 Bachman Ave	Gilroy	CA	95030-7242	(408) 555-7407
Isam	Tripp	222 Bachman Ave	Los Gatos	CA	95030-7220	(408) 555-1000
Sal	Mccarthy	301 Santa Cruz Ave	San Jose	CA	95030-7229	(415) 555-5050
Diana	Weil	301 Santa Cruz Ave	Santa Clara	CA	95030-7229	(415) 555-5700
Henry	Phelps	301 Santa Cruz Ave	Morgan Hill	CA	95030-7229	(212) 555-5500
Joe	Wong	301 Santa Cruz Ave	San Jose	CA	95030-7229	(408) 555-8022
Jim	Bressem	301 Santa Cruz Ave	Santa Clara	CA	95030-7229	(415) 555-4244
Stephen	Wong	301 Santa Cruz Ave	Santa Clara	CA	95030-7229	(408) 555-2727
Kirin	Lu	301 Santa Cruz Ave	Santa Clara	CA	95030-7229	(408) 555-9198
Norman	Harris	966 Sixth Street	Santa Clara	CA	95112-3933	(408) 555-1520 x142
Grant	Henderson II	231 Almendra Ave	San Jose	CA	95030-7210	(415) 555-8000
Gene	Plette	259 Almendra Ave	San Jose	CA	95030-7210	(650) 555-7200
Foreign	Kufis	242 Almendra Ave	San Jose	CA	95030-7211	(650) 555-0720
Jerry	Marfatia	238 Almendra Ave	Santa Clara	CA	95030-7211	(415) 555-2400
David	Moore	238 Almendra Ave	Los Gatos	CA	95030-7211	(408) 555-3356
Ruth	Heath	234 Almendra Ave	Santa Clara	CA	95030-7211	(408) 555-7011
Kendall	Lee	230 Almendra Ave	Santa Clara	CA	95030-7211	(213) 555-4000
Bob	Mcnear	216 Almendra Ave	Campbell	CA	95030-7211	(408) 555-6100
Dale	Rodd	337 Santa Cruz Ave	San Jose	CA	95030-7205	(408) 555-7100
Raymond	Stevenson	349 Santa Cruz Ave	Mountain View	CA	95030-7205	(415) 555-2882
Joanne	Giovanola	223 Saratoga Ave	Santa Clara	CA	95030-5308	(408) 555-0344
Art	Schevan	225 Saratoga Ave	Los Gatos	CA	95030-5308	(408) 555-3500
Larry	Boots	315 Saratoga Ave	Santa Clara	CA	95030-5310	(408) 555-1515
Walter	Abreu	974 Sixth Street	Mountain View	CA	95112-3933	(408) 555-8000
Martha	Richie	2402 Zachary Way	Los Gatos	CA	95121-2270	(650) 555-7483
Wai-Hon	?	614 Tully Road	Los Gatos	CA	95111-1033	(408) 555-1800
Paul	Anderson	602 Tully Road	San Jose	CA	95111-1033	(408) 555-9100
Brent	Gordon	2410 Senter Road	Campbell	CA	95111-1040	(650) 555-4081
Mike	Clark	2895 Senter Road	San Jose	CA	95111-1149	(510) 555-1517
Lee	Lam	3161 Senter Road	San Jose	CA	95111-1300	(408) 555-1234
Joanne	Ruffatto	3167 Senter Road	Cupertino	CA	95111-1358	(408) 555-8696
Gary	Carlson	1709 Tully Road	San Jose	CA	95122-1898	(415) 555-9604
Jim	Thomas	1601 Tully Road	Mountain View	CA	95122-2533	(408) 555-1901
Kathy	Brewer	1605 Tully Road	Campbell	CA	95122-2533	(650) 555-2668
Kenny	Hamilton	1613 Tully Road	Mountain View	CA	95122-2533	(650) 555-6390
Lori	Ring	2013 Tully Road	Santa Clara	CA	95122-1801	(415) 555-2000
Kerry	Zemke	1995 Tully Road	San Jose	CA	95122-1801	(415) 555-8085
Michael	Urich	1212 Mcginness Ave	San Jose	CA	95127-4025	(416) 555-0100
Jim	Whitman	2384 Story Road	Gilroy	CA	95122-1056	(408) 555-3893
Mike	Willis	2278 Story Road	San Jose	CA	95122-1054	(408) 555-1791
Iris	Wong	2270 Story Road	Gilroy	CA	95122-1054	(408) 555-9444
Kenton	Jay	2264 Story Road	Santa Clara	CA	95122-1054	(408) 555-2020
Joseph	Costello	2258 Story Road	San Jose	CA	95122-1054	(408) 555-6688
Ray	Pollock	2250 Story Road	Cupertino	CA	95122-1054	(408) 555-8101
Barbara	Whitlow	2244 Story Road	Gilroy	CA	95122-1054	(650) 555-1167
John	Wong	2230 Story Road	San Jose	CA	95122-1054	(208) 555-5875
James	Gibson	2196 Story Road	San Jose	CA	95122-1616	(510) 555-1517
Timothy	Meacham	976 Sixth Street	Santa Clara	CA	95112-3933	(213) 555-7700
Bob	Tsiantar	1131 Adrian Way	Mountain View	CA	95122-3902	(408) 555-2400
Michael Del	Schem	2198 Story Road	Campbell	CA	95122-1616	(408) 555-1550
Andy	Hohenrieder	1115 Hopkins Drive	Santa Clara	CA	95122-1623	(408) 555-1700
Alan	Ku	1990 Story Road	Los Gatos	CA	95122-1930	(408) 555-1919
Linda	Kellenberger	1984 Story Road	Sunnyvale	CA	95122-1930	(650) 555-8666
Carey	Runnion	1976 Story Road	Milpitas	CA	95122-1930	(408) 555-1909
John	"Igoe, Mail Stop 0302"	1968 Story Road	Milpitas	CA	95122-1930	(408) 555-0992
Dayton	Neitzelt	1960 Story Road	Santa Clara	CA	95122-1930	(408) 555-0770
Richard	Casto	1952 Story Road	Los Gatos	CA	95122-1930	(408) 555-6000
Bill	Feal	1942 Story Road	Sunnyvale	CA	95122-1930	(408) 555-7200
Grant	Rici	1934 Story Road	Mountain View	CA	95122-1930	(408) 555-5085
Veronica	Metz	1926 Story Road	Santa Clara	CA	95122-1930	(415) 555-9810
Mike	Baker	1918 Story Road	Gilroy	CA	95122-1930	555-0969
Paul	Rainy	1910 Story Road	San Jose	CA	95122-1930	(408) 555-1653
Al	Le Gardeur	1902 Story Road	Sunnyvale	CA	95122-1930	(408) 555-1800
Bill	Morze	1894 Story Road	Santa Clara	CA	95122-1925	(408) 555-7673
Randy	Sterling	1886 Story Road	Santa Clara	CA	95122-1925	(408) 555-8888
Russ	Wells	1878 Story Road	Mountain View	CA	95122-1925	(650) 555-0121
Tom	Hopkins	1870 Story Road	San Jose	CA	95122-1925	(408) 555-1500
Jim	Backes	1862 Story Road	Sunnyvale	CA	95122-1925	(408) 555-2005
Tony	Hagen	1854 Story Road	Cupertino	CA	95122-1925	(408) 555-8340
Wendy	Spreeman	1697 Marsh Street	Gilroy	CA	95122-2133	(972) 555-9757
Arnaldo	Wright	279 White Road	San Jose	CA	95127-1942	(650) 555-3600
Brooks	Gamble	200 Jackson Ave	Gilroy	CA	95116-1601	(408) 555-8700
Gary	Kemeny	200 Jackson Ave	San Jose	CA	95116-1601	(213) 555-8336
James	Hob Son	200 Jackson Ave	San Jose	CA	95116-1601	(510) 555-8402
Gus	Cherrier	200 Jackson Ave	San Jose	CA	95116-1601	(408) 555-6688
Robert	Pierson	2323 Montpelier Drive	San Jose	CA	95116-1611	(408) 555-7400
Anthony	Bachman	280 Jackson Ave	Los Altos	CA	95116-1607	(800) 555-2733 Ext. 4449
Andrew	Higa	266 Jackson Ave	Los Gatos	CA	95116-1606	(408) 555-5800
Nagesh	Mustain	2380 Montpelier Drive	Santa Clara	CA	95116-1610	(408) 555-9475
Jim	Mervau	2324 Montpelier Drive	Mountain View	CA	95116-1612	(415) 555-1313
Earl	Micheff	1000 Sixth Street	San Jose	CA	95112-3935	(408) 555-3382
Larry	Granger	244 Jackson Ave	Los Gatos	CA	95116-1604	(408) 555-0371
Jack	Serpa	130 Jackson Ave	Mountain View	CA	95116-1907	(408) 555-0900
Jeff	Foster	132 Jackson Ave	Morgan Hill	CA	95116-1907	(916) 555-3723
M.R. (Wally)	Starr	150 Jackson Ave	San Jose	CA	95116-1908	(415) 555-0343
Dave	Gai	1715 Lido Way	Santa Clara	CA	95116-3507	(916) 555-0900
Daniel	Johnson	1727 Lido Way	San Jose	CA	95116-3507	(408) 555-1300
John	Bondam	1755 Lido Way	Los Gatos	CA	95116-3508	(408) 555-1960
Mark	Mcauliff	1767 Lido Way	Los Gatos	CA	95116-3508	(408) 555-8788
Paul	Eddy	1793 Lido Way	Gilroy	CA	95116-3509	(408) 555-6161
Chuck	Petty	1805 Lido Way	Cupertino	CA	95116-3574	(415) 555-6111
Jackie	Sudol	1825 Lido Way	San Jose	CA	95116-3510	(650) 555-7302 Ext. 3010
Keith	Langley	1841 Lido Way	Santa Clara	CA	95116-3510	(415) 555-4122
Kathy	Paratori	72 King Road	San Jose	CA	95116-2522	(408) 555-9200
Don	Galvan	105 Jackson Ave	Santa Clara	CA	95116-1913	(408) 555-2801
Francis	Laney	105 Jackson Ave	Santa Clara	CA	95116-1913	(408) 555-5959
Richard	Wolf	105 Jackson Ave	Los Altos	CA	95116-1913	(510) 555-2948
Mary	Lei	105 Jackson Ave	Santa Clara	CA	95116-1913	(408) 555-1008
R. Hutch	Summers	105 Jackson Ave	Mountain View	CA	95116-1913	(415) 555-6414
Jan	Liu	125 Jackson Ave	San Jose	CA	95116-1916	(408) 555-5080
Mogens	Ireland	125 Jackson Ave	San Jose	CA	95116-1903	(415) 555-5644
Lori	Tong	125 Jackson Ave	Los Gatos	CA	95116-1903	(408) 555-6471
Bob	Moore	125 Jackson Ave	San Jose	CA	95116-1903	(408) 555-0400
William	Austin	125 Jackson Ave	Los Altos	CA	95116-1903	(408) 555-1355
David	Minegishi	125 Jackson Ave	San Jose	CA	95116-1903	(408) 555-0551
Mike	Jenkins	125 Jackson Ave	Cupertino	CA	95116-1903	(408) 555-0111
John	Frank	125 Jackson Ave	San Jose	CA	95116-1903	(415) 555-0689
Ron	Lanka	125 Jackson Ave	Sunnyvale	CA	95116-1903	(408) 555-6744
Robert	White	125 Jackson Ave	Mountain View	CA	95116-1903	(408) 555-0400
Udo	Kennedy	125 Jackson Ave	Santa Clara	CA	95116-1903	(408) 555-3080
Mike MC	Shavitz	125 Jackson Ave	Sunnyvale	CA	95116-1903	(408) 555-8400
Patrick	Zakin	125 Jackson Ave	Mountain View	CA	95116-1903	(408) 555-8883
Nob	Crossley	125 Jackson Ave	Santa Clara	CA	95116-1915	(408) 555-6400
David	Smith	125 Jackson Ave	San Jose	CA	95116-1903	(408) 555-9900
Yoshihisa	Kneeland	125 Jackson Ave	Santa Clara	CA	95116-1903	(408) 555-8020
Gerry/Gerald	Bell	125 Jackson Ave	San Jose	CA	95116-1903	(415) 555-1100
Jay G.	Solarez	1018 Sixth Street	Los Altos	CA	95112-3935	(408) 555-1668
John	Marengo	125 Jackson Ave	San Jose	CA	95116-1903	(408) 555-0111
Bruce	Pliner	125 Jackson Ave	San Jose	CA	95116-1903	(408) 555-6000
Richard	Carlson	115 Jackson Ave	Fremont	CA	95116-1924	(415) 555-1000
Anita	Gianatti	115 Jackson Ave	Santa Clara	CA	95116-1924	(408) 555-3334
Richard	Park	115 Jackson Ave	Milpitas	CA	95116-1924	(408) 555-8700
Steve	Lyon	155 Jackson Ave	Santa Clara	CA	95116-1925	(408) 555-1701
Glen	Shah	155 Jackson Ave	San Jose	CA	95116-1925	(650) 555-2211
David	Phillips	155 Jackson Ave	San Jose	CA	95116-1925	(707) 555-2333
Ralph	Faust	155 Jackson Ave	Santa Clara	CA	95116-1925	(408) 555-0111
James	Lavine	155 Jackson Ave	Santa Clara	CA	95116-1925	(408) 555-0400
Roger	Chiponis	155 Jackson Ave	Gilroy	CA	95116-1925	(408) 555-8360
Mr. Roger	Tobias	135 Jackson Ave	San Jose	CA	95116-1917	(408) 555-1943
Don	Latourette	135 Jackson Ave	Los Gatos	CA	95116-1917	(408) 555-0410
Art	Flasck	135 Jackson Ave	San Jose	CA	95116-1917	(408) 555-2436
Harry	Frandsen	145 Jackson Ave	San Jose	CA	95116-1918	(408) 555-9475
Philip	Goheen	135 Jackson Ave	Santa Clara	CA	95116-1917	(408) 555-1700
Jerome	Mcdowell	1030 Sixth Street	Santa Clara	CA	95112-3935	(415) 555-3160
Gary	Campbell	135 Jackson Ave	Santa Clara	CA	95116-1917	(408) 555-9000
Paul	Arrieta	135 Jackson Ave	Campbell	CA	95116-1917	(650) 555-0100
Boydine	Bergum	2121 Alexian Drive	San Jose	CA	95116-1906	(408) 555-1122
Ed	Arroz	1684 Mckee Road	San Jose	CA	95116-1237	(408) 555-3133
Dr. Hsun	Platt	1680 Mckee Road	San Jose	CA	95116-1237	(408) 555-9898
Ralph	Daniel	290 Mcdonald Ave	Gilroy	CA	95116-1230	(408) 555-4700
Judy	Schneider	1660 Mckee Road	San Jose	CA	95116-1235	(408) 555-8980
Gary	Conroy	2398 Senter Road	Sunnyvale	CA	95112-2616	(650) 555-0412
Gary	Desjardin	639 Tully Road	Los Gatos	CA	95111-1000	(408) 555-3033
Douglas	Martig	647 Tully Road	San Jose	CA	95111-1042	(408) 555-9010
Ray	Hammitt	925 Remillard Court	Milpitas	CA	95122-2625	(408) 555-9701
Mr. Andreas	Ewbank	930 Remillard Court	Los Altos	CA	95122-2625	(408) 555-7840
R.	Eiselman	940 Remillard Court	Morgan Hill	CA	95122-2625	(415) 555-1977
Jane	Jesse	960 Remillard Court	Milpitas	CA	95122-2616	(714) 555-3525
Cris	Nelson	755 Story Road	San Jose	CA	95122-2628	(408) 555-5588
Mark	Choi	1145 Story Road	Santa Clara	CA	95122-2633	(408) 555-6886
Tom	Lau	495 William Street	Santa Clara	CA	95112-3770	(408) 555-1200
Peggy	Baker	475 William Street	Santa Clara	CA	95112-3768	(408) 555-6455
Ben	Roscoe	50 17th Street	Morgan Hill	CA	95112-2031	(212) 555-7187
Bob	Piper	70 17th Street	San Jose	CA	95112-2031	(408) 555-0660
Frank	Mitchell	82 17th Street	Santa Clara	CA	95112-2031	(408) 555-7605
Steve	Lee	96 17th Street	Santa Clara	CA	95112-2031	(408) 555-8338
Mark C.	Herbig	45 17th Street	Los Gatos	CA	95112-2032	(408) 555-0678
Gary	Pelton	99 17th Street	Gilroy	CA	95112-2032	(408) 555-8511
R.	Harris	87 17th Street	Morgan Hill	CA	95112-2032	(203) 555-7702
Gay	Ha	35 17th Street	Santa Clara	CA	95112-2032	(408) 555-4566
Tyler	Dwong	25 17th Street	Gilroy	CA	95112-2032	(408) 555-5959
Steven	Harris	780 Santa Clara Street	Morgan Hill	CA	95112-1909	(212) 555-7411
Ray	Desilets	20 16th Street	San Jose	CA	95112-2029	(408) 555-7703
Jeff	Hansen	24 16th Street	Los Altos	CA	95112-2029	(650) 555-0650
Gene	Renola	32 16th Street	Santa Clara	CA	95112-2029	(408) 555-2400
Michael	Vasconcelles	40 16th Street	San Jose	CA	95112-2029	(408) 555-5170
Henry	Michels	48 16th Street	San Jose	CA	95112-2029	(408) 555-9290
Art	Kunkel	98 16th Street	San Jose	CA	95112-2029	(415) 555-6700
R Lawrence	Giamell	101 16th Street	Sunnyvale	CA	95112-2153	(408) 555-2500
Richard	Oswald	737 San Fernando Street	Cupertino	CA	95112-2009	(408) 555-1710
Joan L.	Heinemann	747 San Fernando Street	Santa Clara	CA	95112-2009	(408) 555-2934
Roy	Johnson	95 16th Street	Santa Clara	CA	95112	(415) 555-3770
Ned	Vizon	77 16th Street	Los Gatos	CA	95112	(925) 555-6206
Mike	Fincy	1036 Sixth Street	Santa Clara	CA	95112-3935	(408) 555-6525
Dnaa	Richmond	71 16th Street	Santa Clara	CA	95112	(415) 555-1441
Dick	Joe	65 16th Street	Santa Clara	CA	95112	(408) 555-9550
Richard Dick	Mcmann	55 16th Street	Los Gatos	CA	95112	(408) 555-2500
William	Jr.	51 16th Street	San Jose	CA	95112	(408) 555-1300
Jim	Richards	43 16th Street	San Jose	CA	95112	(408) 555-7000
Roy	Moffet	35 16th Street	Santa Clara	CA	95112	(415) 555-5513
Kay	Broyles	33 16th Street	San Jose	CA	95112	(408) 555-0133
Roger	Alvey	25 16th Street	Santa Clara	CA	95112	(650) 555-6300
Jack	Vu	55 14th Street	Cupertino	CA	95112-2016	(408) 555-1222
Dave	Felton	43 14th Street	Gilroy	CA	95112-2016	(510) 555-1947
Rodney	Ely	33 14th Street	Santa Clara	CA	95112-2016	(415) 555-0123
Mr. Murray	Dewey	36 13th Street	San Jose	CA	95112-2021	(408) 555-3100
Pabian	Quinn	86 13th Street	Gilroy	CA	95112-2021	(312) 555-2347
Mike	Mockler	75 15th Street	Sunnyvale	CA	95112-2026	(650) 555-9016
Doris	Manderick	43 15th Street	Mountain View	CA	95112-2026	(408) 555-3344
Kay	Marlatt	25 15th Street	San Jose	CA	95112-2026	(408) 555-5555
Gary	Marlatt	70 14th Street	San Jose	CA	95112-2015	(510) 555-1180
Joe	Blakesly	96 14th Street	Santa Clara	CA	95112-2015	(650) 555-1300
Logan	Severt	576 Santa Clara Street	Santa Clara	CA	95112-2019	(408) 555-5251
Nicholas	Larkin	97 13th Street	San Jose	CA	95112-2022	(408) 555-2255
Elmer J.	Thornton	87 13th Street	San Jose	CA	95112-2022	(408) 555-0674
Doug	Formaneck	41 13th Street	Milpitas	CA	95112-2022	(408) 555-8036
Jim	Jones	35 13th Street	San Jose	CA	95112-2022	(800) 555-2931
Greg	Philbrick	60 12th Street	Fremont	CA	95112-2019	(415) 555-1388
Dave	Wolff	1042 Sixth Street	Cupertino	CA	95112-3935	(408) 555-7766
Ilona	Greenback	90 12th Street	Gilroy	CA	95112-2019	(408) 555-0670
Tom De	Day	91 12th Street	Santa Clara	CA	95112-2020	(415) 555-8400
Robert	Nakasuji	315 San Fernando Street	Los Gatos	CA	95112-3550	(408) 555-2916
Gill	Ewing	57 13th Street	San Jose	CA	95112-3439	(650) 555-3200
Donald E.	Skeeters	75 13th Street	Santa Clara	CA	95112-3439	(408) 555-6700
William	Jimenez	560 Saint John Street	Los Gatos	CA	95112-3413	(415) 555-2222
Thomas	Coker	83 13th Street	Los Gatos	CA	95112-3439	(408) 555-1315
Michael R.	Gertz	91 13th Street	San Jose	CA	95112-3439	(408) 555-0850
Juduth	Reller	99 13th Street	Santa Clara	CA	95112-3439	(408) 555-8800
Peter	Wilke	93 14th Street	Sunnyvale	CA	95112-6207	(408) 555-9572
John	Arenstein	25 14th Street	San Jose	CA	95112-6204	(408) 555-5900
James	Liu	604 Saint John Street	Santa Clara	CA	95112-6202	(408) 555-3000
Rob	Healy	80 13th Street	Sunnyvale	CA	95112-3438	(408) 555-3900
Greg	Stelzer	60 13th Street	Los Gatos	CA	95112-3438	(408) 555-8000
John	Buckley	56 13th Street	Los Gatos	CA	95112-3438	(650) 555-2011
Gary G.	Mcguire	30 13th Street	Santa Clara	CA	95112-3459	(408) 555-9110
Len	Williams	65 14th Street	Gilroy	CA	95112-6207	(650) 555-4197
Jay	Mcfaddin	79 14th Street	San Jose	CA	95112-6207	(408) 555-9553
Jerry	Dipko	10 16th Street	San Jose	CA	95112-2029	(408) 555-4015
John	Elliott	765 Santa Clara Street	Los Gatos	CA	95112	(408) 555-8855
Larry	Sanchez	296 Third Street	Los Gatos	CA	95112-5211	(408) 555-8077
Jack	Anderson	284 Third Street	San Jose	CA	95112-5222	(408) 555-4304
Patrick	Katzman	276 Third Street	Santa Clara	CA	95112-5241	(408) 555-6543
Judd	Silver	260 Third Street	San Jose	CA	95112-5293	(408) 555-1900
