First	Last	Address	City	State	Zip	Phone	Gender
Kurt G.	Gross	400 Kato Terrace	Santa Clara	CA	94538	(415) 555-6500	M
Joe	Bissett	2201 Walnut Ave	San Jose	CA	94538	(415) 555-0900	M
Ken	Clark	3340 Walnut Ave	Los Altos	CA	94538-2215	(408) 555-1510	M
Greg	Haupt	20300 Stevens Creek Blvd	Santa Clara	CA	95014	(415) 555-9334	M
John	Hollingsworth	481 Vandell Way	San Jose	CA	95008	(408) 555-9188	M
Ilona	Lane	905 Dell Ave	Milpitas	CA	95008	(408) 555-0607	F
Donald	Meeks	50 Curtner	San Jose	CA	95008	(408) 555-9050	M
Rod	O'Connell	1566 La Pradera	San Jose	CA	95008	(408) 555-6161	M
Steve	Pace	1717 Dell Ave	Milpitas	CA	95008	(408) 555-1010	M
Steve	Miller	700 Gale Drive	San Jose	CA	95008	(408) 555-9300	M
Glen	Post	250 Hacienda Ave	Morgan Hill	CA	95008	(408) 555-3500	M
Al	Richardson	1925 Winchester Blvd	San Jose	CA	95008	(408) 555-2002	M
Toby	Siers	1004 Second Street	Mountain View	CA	95112-5827	(408) 555-1000	M
Mark	Wright	1506 Dell Ave	San Jose	CA	95008	(408) 555-8787	M
Rich	Kitchens	476 Vandell Way	Sunnyvale	CA	95008	(408) 555-6711	M
Wally	Watson	1265 Bascom Ave	Gilroy	CA	95008	(650) 555-1990	M
Lang	Laskey	1520 Dell Ave	Morgan Hill	CA	95008	(408) 555-2500	M
Craig	Scully	62 San Tomas Aquino Road	San Jose	CA	95008	(408) 555-5105	M
Kari	Lee	1610 Dell Ave	Santa Clara	CA	95008	(650) 555-0814	F
Greg	Campbell	142 Central Ave	San Jose	CA	95008	(408) 555-6000	M
Malcolm	Thompson	700 Hamilton Ave	San Jose	CA	95008	(415) 555-1580	M
George	Castles	590 Division Street	San Jose	CA	95008	(408) 555-3535	M
Russ	Youngblood	1400 Dell Ave	Cupertino	CA	95008	(415) 555-7800	M
Danny	Leiker	250 Hamilton Ave	San Jose	CA	95008	(650) 555-1028	M
Jim	Harris	42 Campbell Ave	San Jose	CA	95008	(408) 555-0200	M
Phil	Hench	851 Hamilton Ave	Belmont	CA	95008	(408) 555-8174	M
Bob	Mascia	300 Orchard City Drive	Santa Clara	CA	95008	(408) 555-0206	M
Richard	O'Connor	1999 Bascom Ave	Morgan Hill	CA	95008	(212) 555-3340	M
Wing	Belding	2542 Bascom Ave	Los Gatos	CA	95008	(408) 555-8600	F
Ted	Coleman	591 Hamilton Ave	Gilroy	CA	95008	(650) 555-0216	M
Pekka	Davis	595 Millich Ave	San Jose	CA	95008	(408) 555-1119	F
Jim	Johnson	1475 Bascom Ave	Gilroy	CA	95008	(408) 555-8447	M
John	Ramirez	535 Westchester Drive	Santa Clara	CA	95008	(650) 555-2011	M
Russ	Raineri	300 Harbor Blvd	Cupertino	CA	usa	(415) 555-0181	M
Linda	Renaud	6900 Chestnut Street	San Jose	CA	95020-6635	(408) 555-3377	F
Jay	Shear	6900 Chestnut Street	San Jose	CA	95020-6635	(650) 555-6964	M
Jim	Albanese	1013 Third Street	San Jose	CA	95112-5842	(650) 555-8191	M
George	Stromberg	6900 Chestnut Street	Los Gatos	CA	95020-6635	(408) 555-3300	M
Mike	Castignani	6900 Chestnut Street	Los Gatos	CA	95020-6635	(408) 555-0900	M
Frank	Cody	6900 Chestnut Street	Los Gatos	CA	95020-6635	(408) 555-9600	M
Dianne	Fukuda	6900 Chestnut Street	Sunnyvale	CA	95020-6635	(508) 555-2889	F
Pete	Haugh	6900 Chestnut Street	Milpitas	CA	95020-6635	(408) 555-6700	M
John	Miyahara	6906 Chestnut Street	San Jose	CA	95020-6635	(415) 555-4860	M
Michael	Q Menumac	402 Tenth Street	San Jose	CA	95020	(415) 555-0500	M
Andy	Matteoni	6980 Chestnut Street	San Jose	CA	95020-6635	(415) 555-6124	M
Ralph	Peckham	6990 Chestnut Street	San Jose	CA	95020-6635	(408) 555-0945	M
Peter	Lee	6986 Chestnut Street	Santa Clara	CA	95020-6635	(408) 555-2460	M
Tad	Scuncio	8190 Murray Ave	Morgan Hill	CA	95020-4605	(213) 555-3491	M
Ying	Dykes	8292 Murray Ave	San Jose	CA	95020-4601	(408) 555-0888	F
Keith	Taylor	1350 Pacheco Pass Hwy	San Jose	CA	95020-9559	(415) 555-7929	M
Jing	Biggar	303 Tenth Street	Milpitas	CA	95020-6570	(408) 555-7066	F
David	O'Toole	5887 Monterey Road	San Jose	CA	95020-9587	(415) 555-5420	M
Mallon	Ellison	6110 Monterey Road	Los Altos	CA	95020-9502	(408) 555-0461	M
Ray	Kovaleski	40 Hornlein Court	Gilroy	CA	95020-6944	(408) 555-9701	M
Rick	Edwards	7300 Monterey Road	Los Gatos	CA	95020-6924	(408) 555-6300	M
Wendy	Rashene	110 Monterey Road	Morgan Hill	CA	95020	(408) 555-5880	F
Ron	Greenfield	7270 Monterey Road	Santa Clara	CA	95020-6922	(415) 555-9453	M
Vern	Eder	7350 Monterey Street	San Jose	CA	95020-6935	(206) 555-0704	M
Lawrence	Tsai	7340 Monterey Street	San Jose	CA	95020-6935	(415) 555-1860	M
Mary Ann	Guterman	7360 Railroad Street	San Jose	CA	95020-6919	(408) 555-6666	F
Doug	Hofer	7340 Railroad Street	Santa Clara	CA	95020-6919	(415) 555-4120	M
Ken	Phillips	7340 Railroad Street	San Jose	CA	95020-6919	(650) 555-2211	M
Marshall	Serlin	7341 Alexander Street	Gilroy	CA	95020-6908	(650) 555-2118	M
Joseph	Coghlan	7351 Alexander Street	Los Gatos	CA	95020-6908	(408) 555-5500	M
Dr. M.G.P.	Mcmenamin	7361 Alexander Street	Santa Clara	CA	95020-6908	(650) 555-7676	M
John	Kilczewski	7381 Alexander Street	Campbell	CA	95020-6908	(415) 555-2800	M
Earnie	Kubo	188 Sixth Street	Los Gatos	CA	95020-6902	(408) 555-3231	M
Dave	Stein	178 Sixth Street	Sunnyvale	CA	95020-6902	(408) 555-8999	M
John	Henderson	7390 Monterey Street	San Jose	CA	95020-6935	(408) 555-3000	M
Sam	Jones	7360 Monterey Street	Santa Clara	CA	95020-6935	(408) 555-3082	M
Judy	Hogan	7320 Monterey Street	Campbell	CA	95020-6935	(650) 555-8811	F
Doug	Ruth	7310 Monterey Street	Santa Clara	CA	95020-6935	(408) 555-9154	M
Tony	Burke	7470 Railroad Street	Santa Clara	CA	95020-5819	(415) 555-7219	M
Robert	David	7450 Railroad Street	San Jose	CA	95020-5819	(415) 555-0900	M
John	Hanaway	144 Martin Street	San Jose	CA	95020-5815	(201) 555-3000	M
Patrick	Cote	124 Martin Street	Los Gatos	CA	95020-5815	(408) 555-5435	M
Ted	Tripaldi	44 Martin Street	San Jose	CA	95020-5813	(415) 555-1498	M
Tito	Bennett	20 Martin Street	Morgan Hill	CA	95020-5813	(650) 555-0080	M
Tim	Morrell	7484 Monterey Street	Los Gatos	CA	95020-5824	(510) 555-8620	M
Gerald	Dale	7460 Monterey Street	Los Gatos	CA	95020-5824	(415) 555-1007	M
Joe	Flanagan	7450 Monterey Street	Morgan Hill	CA	95020-5824	(408) 555-4745	M
William	Thomas	7440 Monterey Road	San Jose	CA	95020-5824	(650) 555-2986	M
Steven H.	Johnson	7436 Monterey Street	San Jose	CA	95020-5824	(408) 555-1701	M
Kathy	Denholm	7432 Monterey Street	San Jose	CA	95020-5824	(408) 555-4455	F
Andre	McMullan	7412 Monterey Street	Fremont	CA	95020-5824	(408) 555-3837	M
Michael	Gilmurray	7411 Railroad Street	Santa Clara	CA	95020-5818	(415) 555-2100	M
Tim	Shapino	7481 Railroad Street	Los Gatos	CA	95020-5818	(408) 555-1851	M
Marty	Seiden	7491 Railroad Street	Santa Clara	CA	95020-5818	(408) 555-9400	M
Ira	Snider	7595 Railroad Street	Santa Clara	CA	95020-5820	(415) 555-3300	F
Edward	Spilsbury	7555 Railroad Street	San Jose	CA	95020-5820	(707) 555-2333	M
Bob	Connor	7598 Monterey Road	San Jose	CA	95020-5826	(408) 555-5000	M
Mr. David A.	Elkins	7588 Monterey Street	San Jose	CA	95020-5826	(408) 555-2611	M
Norm	Eyre	7574 Monterey Street	San Jose	CA	95020-5826	(408) 555-1366	M
Paul	Dove	7568 Monterey Street	Gilroy	CA	95020-5826	(650) 555-8811	M
Leon	Himes	7560 Monterey Street	San Jose	CA	95020-5826	(714) 555-1011	M
Vicki	Olenchalk	7554 Monterey Street	San Jose	CA	95020-5826	(650) 555-2500	F
Lanny	Dowling	7550 Monterey Street	San Jose	CA	95020-5826	(415) 555-2022	M
Juan	Rutzler	1009 Third Street	Santa Clara	CA	95112-5842	(617) 555-4980	M
Claude	Wood	7542 Monterey Street	Los Altos	CA	95020-5826	(408) 555-5600	M
Ms.	Bengiveno	7526 Monterey Street	San Jose	CA	95020-5826	(415) 555-3120	F
Jiro	Borelli	7500 Monterey Road	Santa Clara	CA	95020-5826	(408) 555-9656	F
Marilyne	Pasquinelli	144 Lewis Street	Sunnyvale	CA	95020-5210	(415) 555-9300	F
Brian	Templeton	130 Lewis Street	San Jose	CA	95020-5210	(714) 555-5004	M
Mike	Gale	7550 Railroad Street	Fremont	CA	95020-5821	(415) 555-9030	M
Linda	Miller	7540 Railroad Street	San Jose	CA	95020-5821	(408) 555-0277	F
George	Rose	979 Third Street	Santa Clara	CA	95112-5840	(415) 555-2380	M
Toi	Charney	7530 Railroad Street	San Jose	CA	95020-5821	(408) 555-1166	M
David	Sakamoto	7520 Railroad Street	San Jose	CA	95020-5821	(408) 555-4000	M
John	Harris	111 Martin Street	Santa Clara	CA	95020-5814	(408) 555-1666 ext 319	M
Mike	Heinrich	133 Martin Street	Morgan Hill	CA	95020-5814	(408) 555-7446	M
Lewis F.	Hoffman	7700 Monterey Street	San Jose	CA	95020-5218	(408) 555-5470	M
Dave	Bastert	7700 Monterey Street	Milpitas	CA	95020-5218	(415) 555-3900	M
Tom	Kousnetz	7680 Monterey Street	Santa Clara	CA	95020-5216	(415) 555-1700	M
Paul	Harrison	7680 Monterey Street	Los Gatos	CA	95020-5216	(415) 555-0700	M
Robert	Schmidt	7660 Monterey Street	San Jose	CA	95020-5216	(650) 555-5474	M
Alan	Hess	7652 Monterey Street	San Jose	CA	95020-5216	(415) 555-1661	M
Benson	Smith	7648 Monterey Road	Los Gatos	CA	95020-5216	(415) 555-1150	M
Jim	Jacobs	7638 Monterey Street	Los Gatos	CA	95020-5216	(650) 555-0300	M
Diana	O'Hanlon	7634 Monterey Street	Gilroy	CA	95020-5216	(408) 555-7477	F
Steve	Lees	230 Monterey Road	Santa Clara	CA	95020	(408) 555-1100	M
James	Wong	7600 Monterey Road	Santa Clara	CA	95020-5216	(408) 555-7056	M
Larry	Baumgartner	965 Third Street	Morgan Hill	CA	95112-5840	(213) 555-7600	M
Jean	Wasko	8220 Monterey Street	Menlo Park	CA	95020-4524	(408) 555-3917	F
M. Thomas	Pearlman	961 Third Street	Morgan Hill	CA	95112-5840	(214) 555-5700	F
Simon	Dudeck	7840 Monterey Street	Santa Clara	CA	95020-4520	(408) 555-8000	M
Bonnie	Kuehner	7850 Monterey Road	Santa Clara	CA	95020-4520	(415) 555-6060	F
William	Fletcher	8111 Swanston Lane	San Jose	CA	95020-4526	(415) 555-7470	M
Ronald	Fletcher	7920 Monterey Street	Morgan Hill	CA	95020-4521	(847) 555-7911	M
Raymond	Hiland	7990 Monterey Street	Milpitas	CA	95020-4521	(408) 555-2610	M
Carita/Marritt	Jackson	8040 Monterey Street	Cupertino	CA	95020	(408) 555-1986	F
Ron	Kaminski	7810 Monterey Street	Los Gatos	CA	95020-4530	(408) 555-0928	M
Dale	Riordan	7810 Monterey Street	Los Gatos	CA	95020-4530	(408) 555-0644	M
Barry	Lyn	7810 Monterey Street	Campbell	CA	95020-4530	(408) 555-7717	M
Bob	Donovan	7818 Monterey Street	Gilroy	CA	95020-4530	(408) 555-9551	M
Joe	Shaffer	7840 Monterey Street	Morgan Hill	CA	95020-4520	(408) 555-3315	M
Jim	Shuler	7860 Monterey Street	Gilroy	CA	95020-4520	(650) 555-4949 Ext. 200	M
Lee	Breen	7880 Monterey Street	Los Gatos	CA	95020-4520	(408) 555-8810	M
John	Holden	7888 Monterey Street	Sunnyvale	CA	95020-4520	(800) 555-2733	M
Norman	Kaspar	7896 Monterey Street	San Jose	CA	95020-4520	(212) 555-3600	M
Dennis	Macfee	8091 Swanston Lane	Morgan Hill	CA	95020-4513	(408) 555-3700	M
Jim	Mcgrath	8271 Forest Street	San Jose	CA	95020-4504	(305) 555-5185	M
Jeffrey	Meyersieck	611 Leavesley Road	San Jose	CA	95020-3610	(408) 555-8244	M
Dale	Miller	8430 Murray Ave	San Jose	CA	95020-3636	(408) 555-2280	M
Joe	O'Brien	8435 San Ysidro Ave	San Jose	CA	95020-3624	(408) 555-3400	M
Ron	Archer	957 Third Street	Los Gatos	CA	95112-5840	(510) 555-1411	M
Mike	Snover	8425 San Ysidro Ave	Santa Clara	CA	95020-3624	(408) 555-7123	M
J.	Steinbush	8430 Murray Ave	Morgan Hill	CA	95020-3636	(408) 555-0766	M
J.B.	Stockero	8901 Murray Ave	Santa Clara	CA	95020-3633	(408) 555-6100	M
Orville	Swan	16225 Condit Road	Cupertino	CA	95037	(408) 555-6600	M
Velia	Vickers	16245 Condit Road	San Jose	CA	95037	(408) 555-3386	F
Robert	Di Pietro	16525 Condit Road	Morgan Hill	CA	95037-9533	(415) 555-0660	M
Joseph L	Wiser	16695 Condit Road	Santa Clara	CA	95037-9533	(415) 555-2000	M
Bob	Woodward	16725 Condit Road	San Jose	CA	95037-9552	(408) 555-0800	M
Millard	Andres	820 Dunne Ave	Santa Clara	CA	95037-4609	(415) 555-4400	M
Frank	Baldwin	810 Dunne Ave	Milpitas	CA	95037-4609	(510) 555-5555	M
Audrey	Domich	800 Dunne Ave	Los Gatos	CA	95037-4609	(408) 555-1920	F
Susan	Moore	830 Dunne Ave	Milpitas	CA	95037-4609	(650) 555-0500	M
Juan	Nguyen	840 Dunne Ave	Santa Clara	CA	95037-4609	(617) 555-4999	M
Ron	Devine	850 Dunne Ave	Fremont	CA	95037-4609	(415) 555-3660	M
Tom	Trautman	860 Dunne Ave	San Jose	CA	95037-4609	(408) 555-7000	M
Taylor	Finney	860 Dunne Ave	Mountain View	CA	95037-4609	(650) 555-2431	M
Richard	Garner	15840 Monterey Road	San Jose	CA	95037-5475	(650) 555-0176	M
Corie	Koch	275 Tennant Ave	San Jose	CA	95037-5476	(510) 555-2300	M
Mardel	Lockenmeyer	16250 Monterey Street	San Jose	CA	95037-7112	(408) 555-6630	M
Joe	Benevento	16450 Monterey Road	San Jose	CA	95037-5132	(408) 555-9500	M
Dave	Chiechi	16430 Monterey Road	Milpitas	CA	95037-5117	(714) 555-7125	M
Timothy	Curran	16330 Monterey Street	Los Gatos	CA	95037-5406	(408) 555-8651	M
John	Herrick	953 Third Street	San Jose	CA	95112-5840	(408) 555-6000	M
Jean	Derry	16485 Church Street	Sunnyvale	CA	95037-5438	(408) 555-0408	F
John W.	Ericson	705 Church Street	San Jose	CA	95037	(415) 555-5200	M
Jim	Kurfess	16940 Monterey Street	Morgan Hill	CA	95037-5120	(602) 555-5379	M
Jim	Mccann	75 Myrtle Ave	Santa Clara	CA	95037-5106	(408) 555-8435	M
Isam	Morrison	45 Myrtle Ave	Santa Clara	CA	95037-5106	(408) 555-1000	M
Ralph	Olson	16925 Church Street	Sunnyvale	CA	95037-5101	(408) 555-6131	M
Jacklyn	Reilly	16945 Church Street	Gilroy	CA	95037-5101	(415) 555-1460	F
John	Bringuo	16955 Church Street	Gilroy	CA	95037-5101	(510) 555-4100	M
Len	Bauer	90 Dunne Ave	Santa Clara	CA	95037-5108	(415) 555-7333	M
Ivan	Augusto	70 Dunne Ave	San Jose	CA	95037-5108	(408) 555-8800	M
Jerry	Fitch	60 Dunne Ave	Campbell	CA	95037-5108	(408) 555-6100	M
Gerald	Miller	40 Dunne Ave	Santa Clara	CA	95037-5108	(415) 555-1007	M
Jay	Yandle	16990 Monterey Street	Morgan Hill	CA	95037-5120	(650) 555-8383	M
John	Bottomley	951 Third Street	San Jose	CA	95112-5871	(408) 555-1014	M
Bill	Folis	95 Bisceglia Ave	Morgan Hill	CA	95037-5102	(408) 555-1212	M
Irwin	Ward	16855 Church Street	Gilroy	CA	95037-5133	(512) 555-4797	M
David	Smith	50 Myrtle Ave	San Jose	CA	95037-5107	(650) 555-3160	M
Jill	Davis	30 Myrtle Ave	Gilroy	CA	95037-5107	(408) 555-3900	M
Richard	Miranda	16890 Monterey Road	San Jose	CA	95037-5119	(415) 555-3636	M
Kirk	Dodds	16870 Monterey Street	Santa Clara	CA	95037-5119	(408) 555-1500	M
Henry	Collins	16870 Monterey Street	San Jose	CA	95037-5119	(415) 555-9538	M
Dennis	Pine	16860 Monterey Street	San Jose	CA	95037-5119	(650) 555-2400	M
Mr. Walt	Hamilton Iii	16830 Monterey Street	San Jose	CA	95037-5119	(408) 555-6707	M
Joe	Talmidge	16820 Monterey Highway	Mountain View	CA	95037-5119	(404) 555-0011	M
Jerry	Macphee Jr.	16810 Monterey Street	Fremont	CA	95037-5119	(650) 555-2506	M
Roger	Mac Phee	16765 Church Street	San Jose	CA	95037-5111	(408) 555-8597	M
Hazel	Lintner	90 Bisceglia Ave	San Jose	CA	95037-5103	(408) 555-0815	F
Jeremy	Copro	50 Bisceglia Ave	Santa Clara	CA	95037-5103	(213) 555-1700	M
Jim	Wood	40 Bisceglia Ave	Gilroy	CA	95037-5103	(408) 555-4191	M
Mike	Selonick	30 Bisceglia Ave	Milpitas	CA	95037-5121	(408) 555-1111	M
Frank	Wood	16790 Monterey Road	San Jose	CA	95037-5105	(408) 555-7500	M
James	Roney	16780 Monterey Street	Gilroy	CA	95037-5105	(617) 555-3807	M
Hiroko	Parker	16770 Monterey Street	Los Gatos	CA	95037-5105	(408) 555-0600	F
Gene	Parker	16760 Monterey Road	Gilroy	CA	95037-5105	(408) 555-0440	M
Phil	Johnson	16750 Monterey Street	Sunnyvale	CA	95037-5105	(408) 555-1120	M
Yoshi	Sobrato	16720 Monterey Street	Los Gatos	CA	95037-5105	(415) 555-4555	F
Robert	Bruner	6881 Monterey Road	Los Gatos	CA	95020-6662	(408) 555-9111	M
Hal	Steed	6901 Monterey Road	San Jose	CA	95020-6625	(408) 555-2300	M
Richard	Michaels	162 Tenth Street	San Jose	CA	95020-6501	(408) 555-2233	M
Frank	Biagent	6991 Monterey Road	Gilroy	CA	95020-6625	(415) 555-3688	M
Lyman	Capro	7051 Monterey Street	Los Gatos	CA	95020-6613	(650) 555-8552	M
Mark	Lowe	7001 Monterey Street	San Jose	CA	95020-6613	(408) 555-1700	M
George	Peterson	945 Third Street	Cupertino	CA	95112-5840	(408) 555-2700	M
Herb	Lowe	7021 Monterey Street	Sunnyvale	CA	95020-6613	(415) 555-2692	M
Mike	Kuba	7031 Monterey Street	Los Gatos	CA	95020-6613	(408) 555-9022	M
Ernest	Seedorf	7161 Monterey Street	Los Gatos	CA	95020-6615	(408) 555-2486	M
David	Rascona	7201 Monterey Road	Mountain View	CA	95020-6921	(408) 555-8709	M
Kathy	Friedman	7201 Monterey Road	Santa Clara	CA	95020-6921	(650) 555-3200	M
William	Bennett	7237 Monterey Road	Sunnyvale	CA	95020-6921	(408) 555-8665	M
Kathryn	Jordan	7243 Monterey Street	Santa Clara	CA	95020-6921	(415) 555-8300	F
Dan	Aldrich	7259 Monterey Street	Los Gatos	CA	95020-6921	(800) 555-5566	M
Monte	Curtis	7275 Monterey Street	San Jose	CA	95020-6921	(650) 555-2735	M
Ralph	Jewell	10 Seventh Street	Campbell	CA	95020-6107	(408) 555-2300	M
Micheal	Masurian	36 Seventh Street	Santa Clara	CA	95020-6107	(408) 555-1200	M
Dick	Garner	7330 Eigleberry Street	Mountain View	CA	95020-6119	(415) 555-9494	M
Brad	White	7301 Monterey Street	Morgan Hill	CA	95020-6923	(208) 555-8344	M
Bob	Mccarthy	7341 Monterey Street	Gilroy	CA	95020-6923	(408) 555-0900	M
Tom	Teeuws	7347 Monterey Street	Morgan Hill	CA	95020-6923	(916) 555-9021	M
Cindy	Gionatti	7353 Monterey Street	San Jose	CA	95020-6923	(415) 555-5500	F
Mike	Scoggins	7355 Monterey Street	Gilroy	CA	95020-6923	(408) 555-3200	M
Arthur A.	Dubose	7357 Monterey Street	San Jose	CA	95020-6923	(408) 555-4333	M
Stephen	Silverman	939 Third Street	Morgan Hill	CA	95112-5840	(212) 555-8181	M
John	Beddell	7367 Monterey Street	Milpitas	CA	95020-6923	(408) 555-5200	M
Francis	Flint	7373 Monterey Street	Cupertino	CA	95020-6923	(408) 555-9025	M
Laura	Plumley	7377 Monterey Street	Santa Clara	CA	95020-6923	(408) 555-2500	F
John	Monarch	7387 Monterey Street	San Jose	CA	95020-6923	(650) 555-1222	M
Richard	Demetrus	39 Sixth Street	Santa Clara	CA	95020-6152	(415) 555-8400	M
Bill	Ring	7401 Monterey Road	Sunnyvale	CA	95020-5823	(408) 555-1600	M
Dan	Kovacevic	7411 Monterey Street	Santa Clara	CA	95020-5823	(408) 555-4200	M
Chapman	Baker	7419 Monterey Street	Mountain View	CA	95020-5823	(408) 555-6700	M
Greg	Black	7419 Monterey Street	San Jose	CA	95020-5823	(510) 555-2300	M
Tony	Heibel	7421 Monterey Road	Gilroy	CA	95020-5823	(408) 555-1770	M
Annette	Meyerson	7423 Monterey Street	Los Altos	CA	95020-5823	(650) 555-7100	F
Jay	Lenihan	7433 Monterey Street	Los Gatos	CA	95020-5823	(415) 555-7400	M
Michael	Finn	7435 Monterey Street	Santa Clara	CA	95020-5823	(408) 555-7267	M
Ken Mazaki	Weinberg	7441 Monterey Street	Cupertino	CA	95020-5823	(408) 555-8760	M
Michael	Gray	7445 Monterey Street	San Jose	CA	95020-5823	(925) 555-8700	M
Bruce	Martignetti	7451 Monterey Street	Sunnyvale	CA	95020-5823	(508) 555-2889	M
Dwight	Smith	7453 Monterey Street	San Jose	CA	95020-5823	(408) 555-0666	M
Jose	Roe	7455 Monterey Road	San Jose	CA	95020-5823	(408) 555-1101	M
Donn	Zanze	7461 Monterey Street	San Jose	CA	95020-5823	(650) 555-2545	F
Monica	Horton	7473 Monterey Road	Sunnyvale	CA	95020-5823	(408) 555-3259	F
Darlene	Montgomery	7477 Monterey Street	Mountain View	CA	95020-5823	(415) 555-8855	F
E.	Rahinsky	7483 Monterey Street	Morgan Hill	CA	95020-5823	(212) 555-7200	f
Larry	Wang	7485 Monterey Road	San Jose	CA	95020-5823	(408) 555-1677	M
Robert	Hacker	7487 Monterey Street	Morgan Hill	CA	95020-5823	(213) 555-4200	M
Richard	Slepcevic	7497 Monterey Street	Milpitas	CA	95020-5823	(510) 555-1000	M
Seamus	Miller	7501 Monterey Street	Morgan Hill	CA	95020-5825	(213) 555-4900	M
Bob	MC Gowan	7511 Monterey Road	San Jose	CA	95020-5825	(408) 555-4688	M
Hagop	Wang	7515 Monterey Street	Los Gatos	CA	95020-5825	(408) 555-8132	F
Billye A.	Webber	7517 Monterey Street	Santa Clara	CA	95020-5825	(408) 555-5959	M
Dave	Chang	7525 Monterey Street	San Jose	CA	95020-5825	(408) 555-4866	M
David	Anthony	7529 Monterey Street	Los Gatos	CA	95020-5825	(408) 555-5960	M
Richard	Craig	7533 Monterey Street	Sunnyvale	CA	95020-5825	(415) 555-7007	M
Greg	Mader	7539 Monterey Street	Campbell	CA	95020-5825	(408) 555-9200	M
Chris	Sneath	7543 Monterey Street	Santa Clara	CA	95020-5825	(650) 555-8901	M
Charles	Zerges	7557 Monterey Street	San Jose	CA	95020-5825	(415) 555-8722	M
Jeff	Holcomb	7557 Monterey Street	Cupertino	CA	95020-5825	(408) 555-1000	M
Philip	Lackovic	7561 Monterey Street	Mountain View	CA	95020-5825	(408) 555-8031	M
Mr. Ss.	Eggers	7573 Monterey Street	San Jose	CA	95020-5825	(408) 555-7000	M
Marshall	Lalond	7579 Monterey Street	Gilroy	CA	95020-5825	(510) 555-2300	M
Todd	Mcbee	1508 Monterey Road	San Jose	CA	95020	(408) 555-1409	M
Judith	Parsons	30 Third Street	Santa Clara	CA	95020-5107	(408) 555-1414	F
Jay	Mcclinton	7681 Monterey Street	Morgan Hill	CA	95020-5215	(213) 555-4315	M
Steve	Orlando	7601 Monterey Street	Campbell	CA	95020-5215	(408) 555-8302	M
Peter	Scentenne	7635 Monterey Street	San Jose	CA	95020-5215	(408) 555-6688	M
Steve	Paris	7641 Monterey Street	Cupertino	CA	95020-5215	(408) 555-0900	M
Bill	Nakanishi	7661 Monterey Street	San Jose	CA	95020-5215	(408) 555-4200	M
Gene	Purdy	7671 Monterey Street	San Jose	CA	95020-5215	(408) 555-8445	M
Pam	Herrera	7691 Monterey Street	San Jose	CA	95020-5215	(408) 555-9870	F
Morcross	Masamori	7777 Monterey Street	Morgan Hill	CA	95020-5217	(213) 555-1757	M
Sheree	Tran	7711 Monterey Street	Santa Clara	CA	95020-5217	(408) 555-7900	F
Steven	Kato	7733 Monterey Street	San Jose	CA	95020-5217	(408) 555-3318	M
Steve	Chadwick	7747 Monterey Street	San Jose	CA	95020-5217	(408) 555-2595	M
Tom	Laverty	7757 Monterey Street	San Jose	CA	95020-5217	(508) 555-4400	M
Larry	Moorman	7767 Monterey Street	Los Gatos	CA	95020-5217	(650) 555-1100	M
Ms. Joy	Mccaslin	7787 Monterey Road	Santa Clara	CA	95020-5242	(408) 555-9888	F
John	Herb	7797 Monterey Street	Santa Clara	CA	95020-5217	(415) 555-6959	M
Joanne	Cormier	7815 Monterey Street	Mountain View	CA	95020-4519	(408) 555-7500 Ext. 524	F
James	Shelton	7845 Monterey Road	Milpitas	CA	95020-4519	(408) 555-0663	M
Dave	Miller	1000 Third Street	Gilroy	CA	95112-5841	(408) 555-1600	M
Frank	Meluskey	7855 Monterey Street	Gilroy	CA	95020-4519	(408) 555-9400	M
Brian	Rutt	7865 Monterey Street	Sunnyvale	CA	95020-4519	(408) 555-8400	M
John	Scannell	1050 Third Street	San Jose	CA	95112-5841	(650) 555-1400	M
Dave	Straight	7895 Monterey Street	Campbell	CA	95020-4519	(408) 555-7222	M
Peter	Grobman	11 First Street	Campbell	CA	95020-5128	(650) 555-0131	M
Marty Di	Ellis	8065 Monterey Street	Los Gatos	CA	95020-4522	(408) 555-1520	M
Kenneth	Patterson	8175 Monterey Street	Morgan Hill	CA	95020-4534	(717) 555-9008	M
Bill	Kramer	8195 Monterey Street	Morgan Hill	CA	95020-4534	(650) 555-4426	M
Mr. Michael	Hickling	8335 Church Street	San Jose	CA	95020-4406	(408) 555-5993	M
Richard	Iserman	8365 Church Street	Cupertino	CA	95020-4406	(408) 555-8444	M
Elizabeth	Myerson	8365 Monterey Street	San Jose	CA	95020-4533	(973) 555-4479	M
Jon	Plouff	8405 Monterey Street	Gilroy	CA	95020-3600	(650) 555-7500	M
Jen	Pickett	91 Welburn Ave	San Jose	CA	95020	(510) 555-6101	F
James	Casto	8787 Monterey Street	San Jose	CA	95020-3625	(408) 555-7500	M
Dennis	Babian	8655 Monterey Road	Gilroy	CA	95020-3621	(408) 555-8140	M
Pamela	McNeill	8707 Monterey Road	Santa Clara	CA	95020-3625	(650) 555-4400	F
Ken	Valley	8797 Monterey Street	Santa Clara	CA	95020-3625	(415) 555-7800	M
John	Takasugi	8843 Monterey Road	San Jose	CA	95020-7207	(408) 555-0900	M
Manny Del	Laffey	1098 Third Street	San Jose	CA	95112-5841	(510) 555-2900	M
Jack	Poonja	8847 Monterey Road	Fremont	CA	95020-7207	(415) 555-1561	M
Laura	Blake	8985 Monterey Road	Morgan Hill	CA	95020-7205	(415) 555-0420	F
